AbsMinZ,AbsMinX,AbsMedianZ,AbsMeanZ,AbsMedianY,AbsMeanY,MedianZ,AbsMinY,AvgZ,AvgX,Label
0.115444095,0.078477797,0.124139589,0.122732002,0.901567066,0.897249165,0.449994986,0.949676721,0.444914595,0.544842492,0
0.000916035,0.011824799,0.09263842,0.107391638,0.908025102,0.827231709,0.476984002,0.155729953,0.472133147,0.569092866,2
0.054744881,0.003980035,0.390196264,0.531002208,0.644847262,0.744175666,0.623802453,0.005673758,0.674504352,0.739573075,2
0.416078038,0.59144178,0.504346207,0.522503217,0.124877685,0.141062556,0.776770625,0.027187145,0.778215476,0.914944802,2
0.534492007,0.806901991,0.516402443,0.513313703,0.120747308,0.119695443,0.782964815,0.121096714,0.773526839,0.900887284,1
0.539131088,0.810558593,0.520532673,0.517688921,0.117553314,0.116060953,0.785086823,0.118454293,0.775759145,0.899720509,1
0.540505694,0.813316715,0.522874741,0.51922563,0.114825053,0.11343654,0.786290118,0.114037864,0.776543198,0.899980705,1
0.544393357,0.812511596,0.524429932,0.521079347,0.113224338,0.111818054,0.787089136,0.115043166,0.777488995,0.899703301,1
0.54427328,0.810411044,0.523942694,0.520825684,0.111797485,0.110461882,0.786838806,0.112121263,0.777359572,0.899586885,1
0.53782935,0.812757067,0.524762357,0.520935079,0.110427664,0.109164546,0.787259928,0.110015816,0.777415387,0.899536992,1
0.1190697,0.015935344,0.123419531,0.121326876,0.907792564,0.90032112,0.450364934,0.94981384,0.445631512,0.486352155,0
0.002638528,4.60E-05,0.123019327,0.11057549,0.901433094,0.894873419,0.450570548,0.757157336,0.456968483,0.504119238,2
0.000542222,0.001881093,0.2293685,0.52015267,0.565560353,0.573398191,0.525689528,0.006161241,0.701228409,0.682648892,2
0.445006311,0.165858515,0.654202243,0.670544195,0.406422008,0.417005381,0.853762876,0.340098813,0.853748352,0.776494466,2
0.677280126,0.53905892,0.660379172,0.655484661,0.392208936,0.388604613,0.856936426,0.40162121,0.846064737,0.768590147,1
0.68071317,0.525619944,0.661272754,0.656881171,0.388723765,0.384986137,0.857395526,0.39413112,0.846777258,0.767578508,1
0.675915675,0.534767998,0.657051926,0.653783163,0.395183147,0.390646555,0.855226972,0.402592397,0.845196605,0.767562074,1
0.685770146,0.547838713,0.660187664,0.656068293,0.384056783,0.38044367,0.856838034,0.39686396,0.846362515,0.771186103,1
0.687427207,0.548612792,0.661183219,0.657004126,0.381804291,0.378061428,0.857349525,0.398875995,0.846839992,0.770388487,1
0.688361075,0.549536956,0.662849892,0.658598226,0.378585963,0.374929539,0.85820582,0.39621197,0.847653328,0.770471249,1
0.105609107,0.105141933,0.112982086,0.112509908,0.903092326,0.897156597,0.45572743,0.954477088,0.450130071,0.557178846,0
